0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57805927	57805635	57760502	57724279	57695755	57671343	37174407	37187246	32668849	32648197	28061263	28075224	32924188	32889674	41563455	41633694	48042164	48330372	53616126	53556335	60976223	
57918131	57861956	57824407	57791601	57767009	37246867	37250814	32722407	32699949	28118949	28131286	32976852	32945604	41619119	41682508	48092190	48377432	53670312	53611775	61023481	61442431	
68216514	68181281	68162799	68121161	46268059	46244210	40704101	40659577	31093345	31115790	29276148	29254860	34937965	34960536	40537564	40760360	45551868	45494621	52390835	52762349	59626449	
68182024	68157354	68126866	46267930	46236033	40698364	40649072	31086808	31115977	29274607	29260025	34941948	34974277	40557929	40792017	45577767	45527316	52421938	52793926	59631764	59930706	
79525897	79508723	56874431	56836550	50618355	50532715	38779073	38808518	32355370	32320920	30644007	30651550	33883316	34030162	37887006	37843663	43877651	44200037	50412079	50656825	55983615	
79783585	57077591	57039700	50780205	50669317	38854913	38879460	32361850	32334052	30619337	30617572	33822758	33985140	37837568	37802859	43799963	44139797	50339541	50560845	55863069	55867152	
64923504	64886323	58284226	58160886	45404448	45423811	37496065	37485909	31396602	31362271	30705589	30781537	33037191	33019164	37940028	38229680	43903958	44096330	49084506	49060075	55239410	
65216202	58607311	58471065	45662805	45678554	37679604	37666754	31409807	31379744	30623832	30684738	32900786	32884925	37779167	38077809	43719673	43896031	48865333	48833028	54981053	54934151	
64391537	64245495	50912817	50923678	42295680	42280896	34445041	34405016	30982434	30958334	30953380	30955385	34235287	34495277	39431987	39579373	44227793	44196070	50028843	49969469	49971294	
64300348	50961124	50961755	42331183	42308123	34463838	34418605	30993617	30959145	30956385	30956882	34257494	34533972	39495358	39648484	44300598	44270421	50106258	50046526	50053709	49985434	
58654578	58681725	49443719	49413887	40309766	40245943	34924553	34748989	31781235	31774766	30880760	31006358	34100064	34183226	38094532	38072087	43355682	43300916	43291299	43224484	43168790	
59237252	49988548	49953552	40801797	40740040	35346442	35169162	32076714	32051415	30876427	31002843	33905363	34000537	37828989	37809532	43032713	42983413	42985086	42912723	42868307	42815073	
56860266	56831274	46983249	46894204	40765664	40552128	36370536	36349279	31849905	31706943	31109955	31121325	33340601	33317190	37592055	37542991	37544334	37490679	37450397	37406799	37401265	
57258260	47325613	47231404	41022580	40798932	36556964	36540875	31932759	31762839	31031141	31044079	33173783	33148916	37346067	37298075	37310614	37263677	37238979	37195839	37189751	37278487	
52702069	52600964	46032752	45784292	41075092	41057277	35183765	34849581	31373315	31310131	30978323	30945204	33562917	33536101	33530734	33488095	33469145	33433883	33414373	33476331	33479396	
52627065	46061473	45817361	41103535	41087818	35210312	34882868	31372374	31303922	30959732	30936523	33555304	33528468	33536071	33499672	33482722	33461646	33462416	33520092	33523151	33522553	
52328089	52055787	46979735	46965376	40278388	39866198	34710200	34575074	31528322	31517219	30921666	30888432	30882551	30863460	30855904	30830502	30815526	30795414	30798251	30798887	30802946	
52043829	46968235	46960340	40278358	39860004	34705544	34574158	31525686	31505833	30926186	30896548	30885771	30863780	30871132	30851580	30845138	30817170	30819761	30819951	30823758	30816208	
47027613	47016590	40335920	39922748	34761704	34632560	31568334	31534123	30919442	30895954	30877915	30858792	30870068	30863958	30871138	30841590	30844353	30845067	30849114	30840712	30838087	
47035375	40350763	39937331	34783643	34655107	31589973	31559262	30942811	30908073	30898698	30883911	30888251	30888329	30900845	30873915	30876690	30877154	30880955	30872813	30870196	30870206	
40391434	39976140	34821152	34698618	31629722	31593927	30969530	30936318	30912959	30901484	30904412	30899926	30911694	30880772	30883505	30884261	30887962	30879836	30877215	30877307	30883692	
